"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2025","78,741.25","78,712.00","79,193.95","78,340.00","8.02K","0.82%"
"03/24/2025","78,099.15","77,150.50","78,192.10","77,150.50","33.12K","1.44%"
"03/21/2025","76,992.75","76,286.60","77,155.30","76,261.25","19.86K","0.72%"
"03/20/2025","76,446.10","75,876.90","76,535.50","75,812.85","17.54K","1.09%"
"03/19/2025","75,620.25","75,499.95","75,691.35","75,350.75","11.38K","0.25%"
"03/18/2025","75,431.80","74,525.00","75,493.50","74,525.00","20.28K","1.47%"
"03/17/2025","74,335.70","74,011.60","74,536.00","74,011.60","4.14K","0.44%"
"03/13/2025","74,011.60","74,111.00","74,480.05","73,943.50","1.80K","-0.30%"
"03/12/2025","74,236.70","74,775.10","74,775.10","73,800.00","2.30K","-0.25%"
"03/11/2025","74,419.40","74,297.00","74,587.00","73,750.10","3.02K","0.16%"
"03/10/2025","74,298.05","74,300.35","74,880.20","74,211.10","2.40K","-0.47%"
"03/07/2025","74,649.35","74,532.95","74,851.00","74,425.90","1.76K","0.16%"
"03/06/2025","74,532.95","74,270.00","74,550.00","73,746.25","1.54K","0.63%"
"03/05/2025","74,069.60","73,450.00","74,250.00","73,438.05","2.18K","0.95%"
"03/04/2025","73,371.60","73,290.85","73,479.95","73,060.00","2.52K","-0.39%"
"03/03/2025","73,659.60","74,135.10","74,135.10","73,287.40","3.36K","-0.24%"
"02/28/2025","73,835.30","74,749.70","74,749.70","73,700.00","3.90K","-1.86%"
"02/27/2025","75,235.90","75,300.00","75,399.90","75,105.10","1.48K","-0.10%"
"02/25/2025","75,314.85","75,002.40","75,499.70","75,002.40","4.76K","0.84%"
"02/24/2025","74,687.00","75,105.00","75,105.00","74,545.05","25.18K","-1.00%"
"02/21/2025","75,441.65","75,463.00","75,800.00","75,271.35","19.94K","-0.56%"
"02/20/2025","75,863.15","75,808.75","75,941.95","75,654.85","10.52K","-0.21%"
"02/19/2025","76,021.60","75,855.75","76,450.00","75,750.00","18.36K","-0.08%"
"02/18/2025","76,085.50","76,150.00","76,210.00","75,650.00","23.06K","-0.17%"
"02/17/2025","76,214.30","76,100.00","76,300.00","75,606.00","8.42K","0.01%"
"02/14/2025","76,209.35","76,650.00","76,650.00","75,693.70","4.06K","-0.25%"
"02/13/2025","76,397.95","76,660.00","76,972.95","76,300.00","3.30K","-0.11%"
"02/12/2025","76,480.40","76,522.85","76,760.00","75,750.00","3.86K","-0.21%"
"02/11/2025","76,637.90","77,590.00","77,590.00","76,394.35","7.20K","-1.24%"
"02/10/2025","77,600.15","78,017.70","78,017.70","77,428.85","1.48K","-0.62%"
"02/07/2025","78,085.30","78,340.00","78,590.00","77,800.00","1.64K","-0.32%"
"02/06/2025","78,335.50","78,600.00","78,600.00","78,250.00","0.84K","-0.33%"
"02/05/2025","78,595.30","78,725.00","78,922.20","78,550.00","1.64K","-0.09%"
"02/04/2025","78,667.95","77,600.20","78,749.85","77,600.20","2.82K","1.53%"
"02/03/2025","77,483.75","77,400.00","77,600.00","77,250.10","3.62K","-0.48%"
"02/01/2025","77,857.30","78,144.65","78,397.90","77,600.00","1.38K","-0.37%"
"01/31/2025","78,144.65","77,325.10","78,198.95","77,300.00","2.58K","0.93%"
"01/30/2025","77,424.55","77,200.00","77,698.80","77,200.00","1.34K","0.29%"
"01/29/2025","77,200.00","76,607.90","77,200.00","76,607.90","0.64K","0.67%"
"01/28/2025","76,684.55","76,300.00","77,369.85","76,280.00","2.18K","1.65%"
"01/27/2025","75,439.45","75,797.30","75,930.00","75,362.35","16.51K","-1.04%"
"01/24/2025","76,229.25","76,686.05","76,960.00","76,134.15","12.08K","-0.47%"
"01/23/2025","76,592.20","76,330.55","76,762.00","76,283.75","7.09K","0.16%"
"01/22/2025","76,473.20","76,226.60","76,510.40","75,863.55","16.33K","0.41%"
"01/21/2025","76,159.00","77,223.45","77,365.45","75,983.40","28.40K","-1.50%"
"01/20/2025","77,316.90","76,811.10","77,449.95","76,811.10","4.64K","0.64%"
"01/17/2025","76,826.10","76,900.00","77,001.30","76,468.85","2.00K","-0.52%"
"01/16/2025","77,230.00","77,300.00","77,374.20","77,150.00","1.72K","0.39%"
"01/15/2025","76,928.85","76,750.10","77,106.00","76,701.00","2.41K","0.04%"
"01/14/2025","76,897.15","76,750.00","77,077.10","76,680.10","2.78K","0.32%"
"01/13/2025","76,649.50","77,444.00","77,444.00","76,499.95","3.46K","-1.34%"
"01/10/2025","77,688.00","78,088.05","78,238.75","77,500.00","3.00K","-0.51%"
"01/09/2025","78,088.05","78,400.00","78,400.00","77,977.85","1.85K","-0.55%"
"01/08/2025","78,522.85","78,548.15","78,681.35","77,900.00","3.92K","-0.03%"
"01/07/2025","78,548.15","78,640.00","78,800.00","78,400.00","2.93K","0.13%"
"01/06/2025","78,448.85","80,199.50","80,199.50","78,350.00","4.49K","-1.66%"
"01/03/2025","79,770.25","80,200.00","80,329.90","79,700.00","4.91K","-0.79%"
"01/02/2025","80,409.50","79,249.85","80,425.00","79,249.00","1.57K","1.46%"
"01/01/2025","79,250.75","78,900.00","79,399.00","78,600.00","0.73K","0.40%"
"12/31/2024","78,936.65","78,920.00","79,098.40","78,335.20","1.50K","-0.22%"
"12/30/2024","79,108.30","79,275.00","79,799.20","78,921.00","2.00K","0.52%"
"12/27/2024","78,699.07","78,685.45","79,000.00","78,663.30","48.97K","0.19%"
"12/26/2024","78,550.35","78,800.00","78,985.15","78,250.00","22.57K","-0.14%"
"12/24/2024","78,662.30","78,669.70","78,989.65","78,462.50","13.24K","-0.01%"
"12/23/2024","78,672.95","78,632.50","79,127.50","78,325.00","19.18K","0.51%"
"12/20/2024","78,275.15","79,402.90","79,750.00","78,137.65","29.85K","-1.43%"
"12/19/2024","79,414.20","79,980.00","79,980.00","79,011.00","4.71K","-1.28%"
"12/18/2024","80,441.80","81,050.00","81,110.00","80,333.35","4.12K","-0.77%"
"12/17/2024","81,063.05","81,950.00","81,950.00","80,930.00","6.41K","-1.13%"
"12/16/2024","81,992.75","82,165.00","82,286.65","81,750.10","3.58K","-0.31%"
"12/13/2024","82,250.55","81,300.00","82,320.00","80,250.00","11.34K","0.76%"
"12/12/2024","81,632.90","82,500.00","82,500.00","81,550.10","0.87K","-0.23%"
"12/11/2024","81,821.70","81,695.15","82,030.00","81,695.15","1.07K","0.05%"
"12/10/2024","81,776.90","81,800.00","81,980.00","81,501.45","1.73K","-0.01%"
"12/09/2024","81,784.75","82,300.00","82,300.00","81,702.10","1.47K","-0.29%"
"12/06/2024","82,023.60","82,076.40","82,222.00","81,801.00","1.57K","0.04%"
"12/05/2024","81,994.40","81,274.35","82,650.00","80,567.00","3.04K","0.89%"
"12/04/2024","81,274.35","81,500.00","81,649.00","80,999.85","2.19K","0.04%"
"12/03/2024","81,239.15","80,900.00","81,400.00","80,800.00","1.18K","0.56%"
"12/02/2024","80,790.70","80,200.00","80,948.70","80,050.00","2.55K","1.24%"
"11/29/2024","79,802.79","79,213.95","79,922.65","79,109.25","55.95K","0.88%"
"11/28/2024","79,108.80","80,397.70","80,525.30","78,968.85","17.07K","-1.51%"
"11/27/2024","80,325.35","80,050.00","80,566.45","79,892.70","4.31K","0.31%"
"11/26/2024","80,078.05","80,293.75","80,400.00","79,825.00","6.39K","-0.17%"
"11/25/2024","80,214.70","80,000.00","80,526.10","79,700.00","11.53K","1.49%"
"11/22/2024","79,036.70","77,400.00","79,211.85","77,400.00","20.50K","2.45%"
"11/21/2024","77,143.15","77,188.20","77,354.25","76,923.25","4.58K","-0.64%"
"11/19/2024","77,641.85","77,820.00","78,650.25","77,540.00","2.56K","0.06%"
"11/18/2024","77,594.60","77,993.85","77,993.85","77,234.85","2.34K","-0.36%"
"11/14/2024","77,878.50","77,972.10","78,379.20","77,731.05","2.33K","-0.22%"
"11/13/2024","78,050.15","78,800.00","79,130.00","77,931.65","1.82K","-1.23%"
"11/12/2024","79,019.30","79,700.10","80,199.50","78,965.65","2.22K","-1.16%"
"11/11/2024","79,949.35","79,786.10","80,453.40","79,600.00","0.74K","0.10%"
